interaction;name
IL12RB1;APBB1IP
ITGB2;APBB1IP
CRTAM;C1QB
CCR1;APBB1IP
SIGLEC10;DOCK2
ARHGAP11A;CKAP2
CDT1;GINS3
ZGRF1;CDK1
KIF23;CDK1
ITK;BCL11B
LINC01123;LINC01106
GINS2;GINS3
CDCA2;EZH2
AURKB;GINS3
CENPM;FOXM1
PTPN22;SLC37A2
CCNE1;CDK1
FAM111B;CKAP2
CD68;APBB1IP
CORO1A;C1QB
MAD2L2;RRM1
MYO1G;DOCK2
GAPDH-DT;FOXM1
NPL;SLC37A2
RAC2;DOCK2
HAVCR2;C1QB
NFAM1;SLC37A2
MYO1G;SLC37A2
SPAG5;EZH2
SKA3;CLSPN
MYO1G;APBB1IP
H19;MIR675
PTPN22;DOCK2
SLC7A7;SLC37A2
DDIAS;CDK1
LILRB4;APBB1IP
SLA;DOCK2
IL18;DOCK2
LYZ;DOCK2
C1GALT1;PFKFB4
CRTAM;DOCK2
UBASH3A;DOCK2
LINC01551;FOXG1
CENPN;FOXM1
LCORL;FOXM1
ICAM1;APBB1IP
SKA3;CDK1
SP140;BCL11B
FAM72B;CDK1
FAM72A;CKAP2
RAC2;SLC37A2
CCDC34;GINS3
TNFSF14;DOCK2
CCRL2;SLC37A2
LOC101928517;SLC37A2
LILRB4;C1QB
TPX2;FOXM1
PDCD1LG2;DOCK2
CSTA;DOCK2
EXO1;FOXM1
HAVCR2;SLC37A2
NCAPG;CDK1
KLHL6;APBB1IP
CCL5;DOCK2
PSRC1;CLSPN
PTPRC;APBB1IP
CD6;DOCK2
TFEC;C1QB
SOCS2-AS1;CKAP2
NEK2;CKAP2
IL12RB1;C1QB
CD300A;C1QB
TOP2A;EZH2
SASH3;APBB1IP
KIF18B;CDK1
PDCD1LG2;C1QB
LOC105378179;RNU2-1
SDS;SLC37A2
CD4;APBB1IP
KIF18A;RRM1
SGO1-AS1;FOXM1
APOC1;C1QB
GTSE1;CLSPN
MCM2;CKAP2
MMS22L;CDK1
SIRPG;APBB1IP
BATF;C1QB
CD84;APBB1IP
CD6;APBB1IP
PTPN22;APBB1IP
EVI2A;SLC37A2
E2F1;EZH2
P2RY6;DOCK2
EMC3-AS1;C21orf58
FPR3;TNFRSF18
TFEC;SLC1A3
CENPN-AS1;GINS3
TTK;EZH2
SIGLEC10;SLC37A2
AURKB;FOXM1
CDK2;CKAP2
SHCBP1;CLSPN
CD48;C1QB
ASF1B;EZH2
POLQ;CDK1
CD180;DOCK2
SASH3;SLC37A2
SLAMF8;APBB1IP
LHX2;EZH2
CTSS;C1QB
TOP2A;CKAP2
CD300LF;DOCK2
BUB1;EZH2
CD86;APBB1IP
CDC45;EZH2
SKA3;EZH2
TAP1;TNFRSF9
CXCR3;BCL11B
GARNL3;ADORA2B
PSMB9;TNFRSF18
BRIP1;CKAP2
SLAMF8;C1QB
MCM4;EZH2
OSCAR;SLC37A2
GZMA;DOCK2
WDR76;SAP30
LIPM;DOCK2
ISOC1;LOC102723654
SLC12A8;SLC37A2
TEX30;QRICH2
DBF4;EZH2
CDCA2;CLSPN
SIRPG;DOCK2
CD80;TNFRSF9
ZSCAN31;OTOAP1
LILRA6;SLC37A2
CCR1;DOCK2
IL2RG;APBB1IP
CRTAM;APBB1IP
LOC107986951;SLC37A2
ITGAL;C1QB
SLA;C1QB
SGO1;FOXM1
SERPINA1;DOCK2
TRIP13;CDK1
SIGLEC8;DOCK2
CD52;DOCK2
CD68;C1QB
CD86;DOCK2
GMNN;RANBP1
KCNMA1;PFKFB4
IL2RB;TNFRSF18
CXCL16;SLC9A7
APOC2;SLC37A2
IL2RG;TNFRSF18
TNFRSF18;C1QB
CD300LF;APBB1IP
CENPE;CDK1
FPR3;SLC37A2
CD4;DOCK2
NCAPG2;CLSPN
CASP1;C1QB
PTPRC;SLC1A3
TUBA1B;TUBA1C
RN7SL2;RNU2-1
KYNU;APBB1IP
ARHGAP30;SLC37A2
IRF1;TNFRSF18
CCND2;CDK1
LMNB2;RRM1
NPL;SLC1A3
LOC100288637;C21orf58
NCF2;SLC37A2
PTPRC;C1QB
CD80;C1QB
APOL6;TNFRSF18
GAS2L3;CKAP2
CDKN3;CKAP2
CDCA4;FOXM1
IFI30;APBB1IP
HAVCR2;APBB1IP
ZWINT;FOXM1
CKAP2L;EZH2
ANKRD22;C1QB
FAM110D;EMCN
TBC1D10C;DOCK2
CALHM6;APBB1IP
CDCA8;CDK1
