interaction;name
ASPM;SHCBP1
TOP2A;HJURP
HJURP;BIRC5
THBS4-AS1;COL8A1
ABCD2;RNF157
SKA1;SHCBP1
TPX2;PTTG1
TOP2A;BIRC5
KNL1;SHCBP1
GZMA;P2RY10
JCHAIN;P2RY10
RAET1K;LINC02257
COL11A1;PHF24
RNU2-1;STARD13-AS
CXCL9;P2RY10
CD3D;P2RY10
ANLN;NCAPH
KCNJ15;SALL4
LINC01016;KCNK6
RUNX3;P2RY10
CALHM6;CD3D
ELAVL3;DSCAML1
UHRF1;BIRC5
SKA1;HJURP
CCNB1;BIRC5
ANLN;SHCBP1
KIF20A;SHCBP1
CCL5;ITGAX
PAX6;LAMB3
MIR155HG;PEG3
IGF1;BIRC5
CENPF;SHCBP1
CD3E;ITK
KNL1;PCLAF
MKX;LOC101927272
CD2;TMEM156
PTTG1;MYBL2
BUB1;SHCBP1
NUF2;HJURP
KIF18B;BIRC5
ITGAX;SEL1L3
ZNF367;RAD51AP1
PYHIN1;P2RY10
GTF2A1L;STMN2
LOC105373150;LUARIS
E2F2;PCLAF
TRAC;MEI1
CXCR4;RGS1
CD3E;TMEM156
KIF18B;SHCBP1
KIF20A;HJURP
MKI67;HJURP
CXCR3;ITGAX
SPAG5;MYBL2
DTL;BIRC5
CDC20;HJURP
SPC25;HJURP
IL21R;IL21R-AS1
ATAD2;RN7SL1
PTCHD4;CBLN4
EOMES;TMEM156
NEK2;BIRC5
ATAD2;RAD51AP1
CD38;TMEM156
PRR11;BIRC5
CEP55;PCLAF
CKAP2L;PCLAF
PBK;NCAPH
IL2RG;TMEM156
TROAP;MYBL2
CXCL9;ITK
FBXO43;PCLAF
F2RL2;STMN2
IQGAP3;SHCBP1
ECEL1;STMN2
PI15;CKS2
HMGB2;RAD51AP1
ICAM1;RGS1
KNL1;HJURP
CCNB2;SHCBP1
UHRF1;HJURP
BANK1;STARD13-AS
SPAG5;PTTG1
TACC3;BIRC5
MIR503HG;STARD13-AS
IL2RG;ITK
UHRF1;SHCBP1
ANPEP;SEL1L3
HJURP;SHCBP1
SDS;RUNX2
C7;BATF
COL10A1;PLK4
CENPE;PLK4
LOC105375715;SLC16A3
IRS4;E2F1
NCAPG;SHCBP1
LOC105375690;LOC107985492
GATA5;MEI1
DIAPH3;BIRC5
PDE8B;FOXL1
