Origin	Destination	Weight1	Weight2	Weight3
57082	653820	0.98539865	0.8382353	0.9558824
57082	11339	1.0	0.8382353	0.95343137
57082	9824	1.0	0.8382353	0.95098037
57082	701	1.0	0.85294116	0.96568626
57082	26586	1.0	0.85294116	0.95343137
79968	26271	0.98539865	0.88235295	0.96568626
4069	962	1.0	0.85294116	0.9607843
4069	1234	0.98539865	0.85294116	0.9583333
105373581	55240	0.97036463	0.86764705	0.9632353
51659	113130	1.0	0.86764705	0.95343137
1058	84057	0.98539865	0.8235294	0.95098037
79915	7516	1.0	0.85294116	0.9558824
728833	4751	0.98539865	0.85294116	0.95343137
728833	653820	0.97036463	0.89705884	0.96813726
728833	701	0.98539865	0.8235294	0.95343137
728833	554282	0.97036463	0.85294116	0.9607843
915	923	0.95487833	0.85294116	0.9583333
915	84636	0.97036463	0.8382353	0.9558824
915	27334	0.9634854	0.8634745	0.9699573
915	914	0.95487833	0.86764705	0.96813726
915	1234	0.97036463	0.88235295	0.9583333
915	6352	0.98539865	0.9558824	0.99019605
990	55215	0.98539865	0.88235295	0.96813726
1318	53831	0.98539865	0.88235295	0.96568626
1318	752	0.97036463	0.8382353	0.9607843
1033	254251	1.0	0.86764705	0.95343137
100126311	84419	0.9161209	0.9705882	0.99264705
220134	9837	1.0	0.89705884	0.9754902
7148	7146	0.98539865	0.88235295	0.9632353
100507118	9055	1.0	0.9558824	0.99264705
100507118	983	1.0	0.86764705	0.9632353
1017	701	1.0	0.86764705	0.9632353
9133	6241	1.0	0.8382353	0.95098037
9133	151648	1.0	0.8382353	0.95343137
7272	84823	1.0	0.86764705	0.96568626
7272	11065	1.0	0.86764705	0.9632353
112267876	103344718	1.0	0.9264706	0.9852941
112267876	102724852	1.0	0.89705884	0.96568626
5788	11262	1.0	0.86764705	0.9558824
11130	55143	0.98539865	0.86764705	0.9583333
9582	100874530	0.98539865	0.86764705	0.95343137
1794	2359	1.0	0.85294116	0.9583333
1794	257106	0.98539865	0.86764705	0.9632353
962	9595	0.98539865	0.8382353	0.95098037
962	56253	0.97036463	0.892995	0.9675048
962	57823	1.0	0.85294116	0.9558824
962	1234	0.98539865	0.88235295	0.96813726
962	3683	1.0	0.85294116	0.9558824
253650	100289137	0.9522031	0.93846154	0.98263025
729533	653820	0.98539865	0.9264706	0.9877451
11004	4998	1.0	0.8088235	0.95098037
4751	157313	1.0	0.8382353	0.95343137
4751	29089	1.0	0.8382353	0.9583333
4751	653820	0.98539865	0.8382353	0.95343137
4751	150468	1.0	0.8382353	0.9558824
923	1234	0.9849595	0.85294116	0.9632353
923	3561	0.97036463	0.85294116	0.9607843
923	3683	0.97036463	0.85294116	0.9632353
923	6352	0.97036463	0.86764705	0.96813726
923	11262	0.97036463	0.8382353	0.95098037
79961	81030	0.98539865	0.86764705	0.95098037
3619	9833	1.0	0.9117647	0.9754902
8318	9156	1.0	0.86764705	0.9632353
8318	100874028	1.0	0.8235294	0.95343137
25818	5650	0.75889504	0.9714286	0.99622643
9595	57823	0.98539865	0.86764705	0.9607843
9595	1234	0.97036463	0.86764705	0.9632353
9595	3683	0.98539865	0.8382353	0.95343137
9595	26191	0.97036463	0.86764705	0.9607843
3383	713	1.0	0.8382353	0.95098037
84636	1234	0.97036463	0.8382353	0.95343137
84636	6352	0.98539865	0.85294116	0.9583333
1230	942	0.98539865	0.89705884	0.9754902
3481	723961	0.0	1.0	1.0
101929215	7060	1.0	0.88235295	0.96813726
9046	11314	1.0	0.85294116	0.95098037
81624	9824	1.0	0.8382353	0.9558824
56253	3683	0.97036463	0.8487143	0.9503374
53831	752	0.98539865	0.86764705	0.96813726
914	6352	0.97036463	0.9117647	0.97794116
54821	3833	1.0	0.86764705	0.95343137
54821	4288	1.0	0.8382353	0.95098037
57823	1234	0.98539865	0.9117647	0.98039216
57823	3561	1.0	0.88235295	0.9705882
57823	3683	1.0	0.85294116	0.9632353
57823	11262	1.0	0.8382353	0.95098037
257106	54518	0.98539865	0.8382353	0.9558824
11065	100874028	1.0	0.85294116	0.9607843
921	6352	0.97036463	0.8487143	0.9527899
921	149628	0.9694595	0.837037	0.95828223
925	926	0.95487833	0.86764705	0.9558824
10261	146722	0.98539865	0.86764705	0.9558824
995	4001	0.98539865	0.86764705	0.96568626
1234	3561	0.98539865	0.85294116	0.96568626
1234	3683	0.98539865	0.9117647	0.98039216
1234	6352	0.98539865	0.86764705	0.9607843
1234	11262	0.98539865	0.8382353	0.95098037
259266	9928	0.98539865	0.88235295	0.9730392
8832	219855	1.0	0.86764705	0.9730392
699	157313	1.0	0.86764705	0.9632353
699	150468	1.0	0.89705884	0.9754902
64005	3683	1.0	0.86764705	0.96813726
64005	3689	1.0	0.85294116	0.95343137
3833	22974	1.0	0.86764705	0.9632353
3833	51512	1.0	0.8235294	0.95098037
3833	10112	0.98539865	0.85294116	0.9558824
3833	24137	1.0	0.88235295	0.9730392
78995	55388	1.0	0.89705884	0.9705882
4001	4288	1.0	0.88235295	0.9705882
4001	9833	1.0	0.85294116	0.9558824
22974	51512	1.0	0.89705884	0.97794116
10293	284992	1.0	0.8382353	0.9583333
157313	7153	1.0	0.8235294	0.95098037
157313	150468	1.0	0.88235295	0.9754902
1043	6352	1.0	0.8382353	0.95098037
6241	80119	1.0	0.8088235	0.95098037
4688	3689	1.0	0.86764705	0.9632353
4688	84868	1.0	0.8235294	0.95098037
3561	3683	1.0	0.85294116	0.9607843
51512	891	1.0	0.86764705	0.9607843
151648	100874028	1.0	0.86764705	0.9607843
103344718	102724852	1.0	0.9117647	0.98039216
9055	983	1.0	0.85294116	0.95343137
10733	4085	1.0	0.85294116	0.95098037
26271	701	0.98539865	0.85294116	0.95343137
54518	29909	0.9645736	0.8634745	0.9601473
124222	63967	1.0	0.8382353	0.95098037
3683	11262	1.0	0.8382353	0.95343137
653820	701	0.98539865	0.8382353	0.95343137
11339	90417	1.0	0.8382353	0.9558824
713	10673	1.0	0.85294116	0.95343137
3689	84868	1.0	0.86764705	0.9632353
7153	150468	1.0	0.85294116	0.95343137
