interaction;name
H19;MKI67
ZBP1;DENND2D
CD3D;EOMES
PKN3;LOC102723996
HMGB2;LOC102723996
PHF24;SLC12A5-AS1
SCARNA21;TFDP1
MSC;SYTL3
GLDN;CLHC1
SH2D1A;DENND2D
SALL1;ASB5
DTL;DRD2
RNASEH2A;ALYREF
RNF157;HOXD3
CDC42EP2;C1GALT1
TRAIP;C1GALT1
SKA1;MKI67
PCOLCE;ECM1
NKAPL;ALX4
ITK;EOMES
TCF7;SLC12A5-AS1
PCLAF;PBK
ILDR1;SLAMF9
PCLO;ADCY5
BIRC5;DRD2
TEAD4;SYTL3
CD40;PILRA
BRI3BP;PTPN3
COX10-DT;LOC102723996
ZNF267;TFDP1
TK1;WDR62
STAT1;MZT1
LCK;DENND2D
LAPTM5;JAK3
CD3D;EVI2B
CD82;MMP1
GASK1B;PBK
CACNA2D4;PILRA
LOC107985017;MIR675
HSD11B2;BCAR3
PASK;ZDHHC13
LCORL;PILRA
CLEC5A;DDX11-AS1
PITX1;LEFTY2
RAC2;DOCK2
ENHO;RASD2
MAD2L1;TFDP1
SPSB4;ZDHHC13
GBP1P1;IFI44
PARVA;CLHC1
CASP1;EVI2B
TMEM132E;SLC12A5-AS1
CENPU;GASK1B
LINC01914;LINC01426
EMC3-AS1;HOXD4
TRIM59;RTL3
ITK;DENND2D
CKAP2;RFC3
PHLDA2;MKI67
LINC02084;CENPH
TFAP2A;MIMT1
CD8B;EOMES
CD4;DOCK2
GBP5;P2RY10
MAD2L2;E2F3
FMNL1;EOMES
ZC3H12A;HOXD3
AQP1;SH2D4A
CIT;GASK1B
PATL2;EVI2B
LINC01731;CEP15
GK;C1GALT1
HRC;IRS4
MIR503HG;DRD2
SQLE;TFDP1
NUDT1;ALYREF
KRT71;TFDP1
RMI1;JAK3
PARVA;WDR62
CD3D;DENND2D
SPDL1;MZT1
KIF18B;MELK
MIR210HG;BRCA1
CBR3;HOXD4
HOXB5;LOC102723996
DBI;BATF
ECEL1;BATF
TNFAIP2;SLC37A2
C5orf34;ASB5
UNC5C;MCM6
CD180;SIGLEC7
CD48;DENND2D
SH3BGRL3;SYTL3
LOC107985847;SBK1
TCF7;JAK3
RAD54L;LINC00472
CCDC171;LOC101929657
TNXA;JAK3
SLC2A12;MSC-AS1
CYTIP;EOMES
BUB1B;HOXD4
TRAF1;DENND2D
DHRS13;GASK1B
PATL2;E2F3
ENPP5;HOXD3
RNF157;ST6GALNAC5
DHRS12;TFDP1
WFS1;OLFML2B
IGHG3;IGKJ5
SAMSN1;POC1A
CD8A;DENND2D
ARHGAP11A;STAC3
C19orf81;PTPN3
DNMT1;OLFML2B
PLK1;KIFC1
CA9;LOC105377402
IL1B;DENND2D
RAC2;SLAMF8
CD3E;P2RY10
SLURP2;PSRC1
SKA2;CEP15
TRAIP;ZDHHC13
LOC107985034;RGS6
MCM8;ZGRF1
BRME1;APLP1
ANPEP;MIMT1
ECEL1;JAK3
MTBP;RFC3
DIRAS3;C1GALT1
UBE2S;ALYREF
HNMT;LOC102723996
SPN;DENND2D
SAP30;HOXD4
RUNX3;DENND2D
TMEM51;HOXD3
SPINT1;RFC3
PRR9;SPINK1
LINC01615;SYTL3
ARHGEF3;DRD2
ZNF726;EIF4EBP1
STMN2;BATF
ESPL1;CELSR3
CD96;EVI2B
CDC25A;MKI67
IL2RB;EOMES
SLC43A3;LOC102723996
ANKRD9;CLHC1
EDNRA;MZT1
C1GALT1;POC1A
RYR3;MIMT1
TROAP;MMP1
JPT1;SYTL3
ARL6IP1;C1GALT1
DCSTAMP;MMP1
ATAD2;MZT1
IL18;ASB5
PDE8B;ASB5
SLFN11;EIF4EBP1
MX2;IFI44
ANKRD22;JAK3
SPAG5;LINC00472
ARMC9;HOXD4
MASTL;STAC3
ASPM;PBK
LAMB3;KLHDC7B-DT
RELT;CXCR4
GIPC3;JAK3
FOXM1;TIFA
MAD2L1;SYTL3
BRCA1;IGFBP4
SIT1;DENND2D
LINC01615;LOC102723996
ADORA3;BATF
EFNA5;LOC101929657
EPO;TIFA
CCR5;EVI2B
TFDP1;MZT1
PTPRB;TAL1
LMNB1;MELK
RAD51;MELK
SRL;IRS4
SOCS2-AS1;DRD2
CKAP2L;MKI67
CKAP2;MZT1
PFKFB4;CEP15
DLGAP5;MELK
TRAF1;NCF2
GALNT12;NCF2
CYTIP;IFI44
UCP2;PILRA
HOXD3;HOXD4
SAMD5;DRD2
DCXR;MZT1
SLC9A7;HOXA11
C21orf58;ZNF114
KCNN4;LOC102723996
ANKRD22;BATF
ISOC1;HELLS
HMGB2;RFC3
WDR88;PLEK
GPR22;ADAMTSL5
OSBPL3;C1GALT1
CYTIP;EVI2B
KRT71;ALYREF
TACC3;POC1A
FAM110A;MIMT1
SAMD5;DDIAS
DENND5B;CLHC1
STAT1;TFDP1
CIP2A;CLHC1
NHSL3;IRS4
ATP2B4;LINC01016
ESPL1;MKI67
CDKN2C;SBK1
PCOLCE;TRPV2
P3H2;LINC01016
H19;MIR675
RMI2;OLFML2B
NUDT8;RFC3
TRIP13;PBK
SRGAP2D;RFC3
LOC112268460;BATF
KIFC1;MIR675
TEAD4;CLHC1
FOXH1;RFC3
CDT1;TIFA
CEP55;MKI67
AIG1;IRS4
LOC102724497;ST8SIA6
UBE2T;C1orf74
CAPS2;C1GALT1
PBLD;ECM1
CD2;P2RY10
TYMS;LOC284240
KNL1;PBK
KIF14;DDIAS
LY75;E2F3
SAXO4;DDX11
RAD51AP1;PAX6
TNFAIP6;GASK1B
MIR675;TEKT2
COCH;CLHC1
HMGB3;SBK1
HOXD9;LOC101929657
MMS22L;CLHC1
NRN1;IFI44
SCN8A;AGTR2
SLF1;CLHC1
COLGALT1;RFC3
TIPIN;DDIAS
FHAD1;EIF4EBP1
CXCL9;EOMES
PDE6G;LOC101929657
CCNA2;H2BC20P
PHLDA2;MMP1
MYT1;HOXD3
TRPA1;SBK1
FAM111B;LRRC55
STEAP1B;MSC-AS1
UBASH3A;EVI2B
SLFN11;C1GALT1
CCN6;TUBB4B
ASF1B;MELK
LINC02754;PDE2A
CHST6;USHBP1
ADCY1;IRS4
ATAD2;TFDP1
PARPBP;GASK1B
SUGCT;JAK3
LRR1;PBK
APBB1IP;ETV7
FURIN;MIMT1
CORO1A;P2RY10
HOXB6;LGMN
PPP1R13L;HOXD4
TMUB1;TUBB4B
CD274;ALYREF
RASSF7;KIFC2
PABPC1L;ST6GALNAC5
TTK;MELK
TMUB1;HELLS
PTGS2;IFI44
ZWINT;NCAPH
USP1;RFC3
LRRC70;TUBB4B
GLIS3;ADCY5
CENPM;MKI67
NXT2;PAX6
KIFC1;MKI67
DBI;RFC3
S100A3;PAX6
HELZ2;IFI44
USP18;IFI44
CHRFAM7A;ZDHHC13
DNAH11;NCF2
USHBP1;RFC3
IGHG3;TRPV2
RANBP1;IGFBP4
JPT1;RFC3
ZWINT;CEP72
LOC107986126;DRD2
SCARNA5;E2F3
CDKN2D;TUBB4B
ADAM19;IGFBPL1
LOC101928658;MT1G
HSD11B2;HOXD3
KIF15;PIMREG
NEURL1;DRD2
BUB1;PBK
SERINC2;SBK1
TEAD4;LOC102723996
BCAR3;HOXD4
BRIP1;BCAR3
VEGFD;MSC-AS1
CCR5;CHI3L2
ANPEP;FAM247A
FAM111B;MELK
SPC24;MKI67
CD3E;CHI3L2
HMGB2;PAX6
SYTL3;LOC102723996
CD2;EOMES
STXBP2;DENND2D
HMGB2;MZT1
PAFAH1B3;PTPN3
DAAM1;MZT1
LOC107986466;CCDC150
SIRPG;EOMES
JAKMIP3;POC1A
CLDN14-AS1;F2RL2
ZMAT3;LOC105372793
NCF2;CHAF1B
EPO;IRS4
AFAP1-AS1;WDR62
TUBA1B;LINC01016
ATP6V0D1;CEMIP2
SNED1;ETV7
SYTL1;IGKJ5
LOC107984301;LOC107985915
PYHIN1;EOMES
CD96;DENND2D
PGR;DRD2
LMNB2;LINC01016
SAPCD2;MKI67
