interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
MCM4,0.51666665,BARD1,1.0,False,MCM4,BARD1,0.7264706,0.7477124333381653
FOXH1,0.55,MZT1,0.984127,False,FOXH1,MZT1,0.7088235,0.747650146484375
HAUS8,0.55,IGFBP4,0.984127,False,HAUS8,IGFBP4,0.7088235,0.747650146484375
PEG3-AS1,0.6166667,BATF,0.8820006,False,PEG3-AS1,BATF,0.7441176,0.7475950121879578
TEDC1,0.53333336,MZT1,0.9677419,False,TEDC1,MZT1,0.7411765,0.7474172711372375
LOC105372863,0.6440873,BCAR3,0.7980118,False,LOC105372863,BCAR3,0.8000891,0.7473960518836975
NUDT1,0.53333336,C1GALT1,1.0,False,NUDT1,C1GALT1,0.7088235,0.747385561466217
WFS1,0.53333336,GASK1B,1.0,False,WFS1,GASK1B,0.7088235,0.747385561466217
C6orf141,0.53333336,ADCY5,1.0,False,C6orf141,ADCY5,0.7088235,0.747385561466217
NUP210,0.55,EOMES,0.9508197,False,NUP210,EOMES,0.7411765,0.7473320960998535
ZSCAN31,0.55,LOC102723996,0.9508197,False,ZSCAN31,LOC102723996,0.7411765,0.7473320960998535
RRM1,0.55,CENPH,0.9508197,False,RRM1,CENPH,0.7411765,0.7473320960998535
SERPINA1,0.51666665,JAK3,0.984127,False,SERPINA1,JAK3,0.7411765,0.7473233342170715
CENPA,0.6,CCNB2,0.91525424,False,CENPA,CCNB2,0.7264706,0.7472416758537292
LINC01731,0.58232516,TFDP1,0.88932383,False,LINC01731,TFDP1,0.76991487,0.7471879124641418
TEDC1,0.55,GCNT1,0.9677419,False,TEDC1,GCNT1,0.7235294,0.7470903992652893
IFI30,0.55,KLK6,0.9677419,False,IFI30,KLK6,0.7235294,0.7470903992652893
SESN1,0.55,GPRIN1,0.9677419,False,SESN1,GPRIN1,0.7235294,0.7470903992652893
SLAMF7,0.56666666,DENND2D,0.93333334,False,SLAMF7,DENND2D,0.7411765,0.7470588684082031
EZH2,0.56666666,CENPI,0.93333334,False,EZH2,CENPI,0.7411765,0.7470588684082031
IL7R,0.56666666,CENPH,0.9508197,False,IL7R,CENPH,0.7235294,0.7470052242279053
PLEK,0.53333336,SYTL3,0.984127,False,PLEK,SYTL3,0.7235294,0.7469965815544128
KIF11,0.53333336,PBK,0.984127,False,KIF11,PBK,0.7235294,0.7469965815544128
SAP30,0.53333336,COL27A1,0.984127,False,SAP30,COL27A1,0.7235294,0.7469965815544128
ULBP3,0.56666666,RNFT2,0.91525424,False,ULBP3,RNFT2,0.7588235,0.7469148635864258
IGHG3,0.56666666,JCHAIN,0.9442873,False,IGHG3,JCHAIN,0.7294118,0.7467885613441467
FAM72A,0.5833333,NCF2,0.88932383,False,FAM72A,NCF2,0.7676471,0.746768057346344
LYPD6,0.56666666,PBK,0.9677419,False,LYPD6,PBK,0.7058824,0.7467636466026306
LINC01238,0.56666666,PSD4,0.9677419,False,LINC01238,PSD4,0.7058824,0.7467636466026306
FAM110A,0.51666665,ASB5,1.0,False,FAM110A,ASB5,0.7235294,0.7467319965362549
HDGF,0.51666665,TUBB4B,1.0,False,HDGF,TUBB4B,0.7235294,0.7467319965362549
HEG1,0.51666665,CEMIP2,1.0,False,HEG1,CEMIP2,0.7235294,0.7467319965362549
ETV4,0.53333336,RFC3,0.9508197,False,ETV4,RFC3,0.7558824,0.7466785311698914
FLT4,0.5833333,LOC102723996,0.9508197,False,FLT4,LOC102723996,0.7058824,0.7466784119606018
C7,0.55,MSC-AS1,0.984127,False,C7,MSC-AS1,0.7058824,0.7466697692871094
TIGD2,0.55,ZDHHC13,0.984127,False,TIGD2,ZDHHC13,0.7058824,0.7466697692871094
