"interaction","name","selected","shared interaction","shared name"
"interacts with","BUB1B-PAK6 (interacts with) TPX2","false","interacts with","BUB1B-PAK6 (interacts with) TPX2"
"interacts with","BUB1B-PAK6 (interacts with) EP300-AS1","false","interacts with","BUB1B-PAK6 (interacts with) EP300-AS1"
"interacts with","BUB1B-PAK6 (interacts with) NEIL3","false","interacts with","BUB1B-PAK6 (interacts with) NEIL3"
"interacts with","BUB1B-PAK6 (interacts with) BUB1B","false","interacts with","BUB1B-PAK6 (interacts with) BUB1B"
"interacts with","BUB1B-PAK6 (interacts with) E2F8","false","interacts with","BUB1B-PAK6 (interacts with) E2F8"
"interacts with","BUB1B-PAK6 (interacts with) TTK","false","interacts with","BUB1B-PAK6 (interacts with) TTK"
"interacts with","BUB1B-PAK6 (interacts with) ARHGAP11A","false","interacts with","BUB1B-PAK6 (interacts with) ARHGAP11A"
"interacts with","BUB1B-PAK6 (interacts with) WDR76","false","interacts with","BUB1B-PAK6 (interacts with) WDR76"
"interacts with","BUB1B-PAK6 (interacts with) SYT4","false","interacts with","BUB1B-PAK6 (interacts with) SYT4"
"interacts with","BUB1B-PAK6 (interacts with) TCF19","false","interacts with","BUB1B-PAK6 (interacts with) TCF19"
"interacts with","BUB1B-PAK6 (interacts with) KIF15","false","interacts with","BUB1B-PAK6 (interacts with) KIF15"
"interacts with","BUB1B-PAK6 (interacts with) CENPF","false","interacts with","BUB1B-PAK6 (interacts with) CENPF"
"interacts with","BUB1B-PAK6 (interacts with) F2RL2","false","interacts with","BUB1B-PAK6 (interacts with) F2RL2"
"interacts with","BUB1B-PAK6 (interacts with) ZNF367","false","interacts with","BUB1B-PAK6 (interacts with) ZNF367"
"interacts with","BUB1B-PAK6 (interacts with) EZH2","false","interacts with","BUB1B-PAK6 (interacts with) EZH2"
"interacts with","BUB1B-PAK6 (interacts with) FAM72D","false","interacts with","BUB1B-PAK6 (interacts with) FAM72D"
"interacts with","BUB1B-PAK6 (interacts with) RAD51AP1","false","interacts with","BUB1B-PAK6 (interacts with) RAD51AP1"
"interacts with","BUB1B-PAK6 (interacts with) ENHO","false","interacts with","BUB1B-PAK6 (interacts with) ENHO"
"interacts with","BUB1B-PAK6 (interacts with) PAQR4","false","interacts with","BUB1B-PAK6 (interacts with) PAQR4"
"interacts with","BUB1B-PAK6 (interacts with) IQGAP3","false","interacts with","BUB1B-PAK6 (interacts with) IQGAP3"
"interacts with","BUB1B-PAK6 (interacts with) CDKN2A-AS1","false","interacts with","BUB1B-PAK6 (interacts with) CDKN2A-AS1"
