attr_name	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control15	Control16	Control17
SCFD2-AS1	7.63848286148995	1.84426779340112	0	0	3.45603181959262	13.6388037249993	117.50886474102	3.42070257216282	1.0475712260813	4.92066543804171	176.991898492103	264.082510788527	10.8623535296233	281.542811228665	176.372909949966	47.5531106293819
NMU	0.848720317943328	0	0	0	0.864007954898155	0	0.910921432100928	2.28046838144188	6.2854273564878	3.69049907853128	0	0	5.43117676481164	3.69478754893261	7.23581169025502	6.52689753736615
HOPX	124.761886737669	2468.5524414674	44.8880908846004	1339.42293337859	351.651237643549	350.34677068592	5213.20335591361	468.636252386306	142.469686747057	4193.63711957105	4407.09827245338	9189.59768483844	144.831380394977	7567.66385772377	6765.48393038844	3028.48045733789
JCHAIN	31.4026517639031	13.8320084505084	2.13752813736193	17.8703186791299	748.230888941802	192.648102615615	8.19829288890836	13.6828102886513	241.98895322478	467.463216613963	17.6991898492103	7.10535903466889	5.43117676481164	13.3012351761574	19.8984821482013	27.9724180172835
LOC100506253	5.09232190765997	0.922133896700558	2.13752813736193	0.850967556149043	0.864007954898155	0.852425232812456	0.910921432100928	3.42070257216282	7.33299858256909	2.46033271902086	0	0	0	0	0	2.79724180172835
CXCL9	1626.99684949736	3.68853558680223	0	39.995475139005	104.544962542677	17.9009298890616	11.8419786173121	2.28046838144188	271.320947555056	13.5318299546147	5.05691138548867	4.7369060231126	0	4.43374505871913	15.3760998417919	18.648278678189
CXCL10	185.869749629589	11.9877406571073	0	98.7122365132889	70.8486523016487	10.2291027937495	65.5863431112668	5.7011709536047	250.369523033431	40.5954898638441	2.52845569274434	10.6580385520033	7.24156901974886	4.43374505871913	11.7581939966644	15.8510368764606
SOWAHB	0	0	0	0	0.864007954898155	0	3.64368572840371	0	0	2.46033271902086	0	1.18422650577815	0	1.47791501957304	0	0.93241393390945
FGF5	0.848720317943328	0	2.13752813736193	1.70193511229809	0	0	1.82184286420186	0	1.0475712260813	3.69049907853128	0	2.3684530115563	3.62078450987443	8.12853260765174	1.80895292256375	0
BMP3	0.848720317943328	0	1.06876406868096	0.850967556149043	0	0.852425232812456	0	0	3.1427136782439	0	0	0	0	2.21687252935956	0	0
