"__glayCluster","name","selected","shared name"
"12","SGO1","false","SGO1"
"4","HOXD13","false","HOXD13"
"12","PIF1","false","PIF1"
"12","MIR924HG","false","MIR924HG"
"4","LOC107985017","false","LOC107985017"
"12","SPAG5","false","SPAG5"
"12","UBE2C","false","UBE2C"
"12","ASPM","false","ASPM"
"12","H3C3","false","H3C3"
"12","DTL","false","DTL"
"4","CDC25A","false","CDC25A"
"12","MCM4","false","MCM4"
"12","ECT2","false","ECT2"
"12","KIFC1","false","KIFC1"
"12","SKA3","false","SKA3"
"12","CDCA2","false","CDCA2"
"12","CCNB1","false","CCNB1"
"12","CDC45","false","CDC45"
"12","KIF2C","false","KIF2C"
"12","SHCBP1","false","SHCBP1"
"9","HAS2-AS1","false","HAS2-AS1"
"12","HOPX","false","HOPX"
"12","MCM10","false","MCM10"
"12","CRADD-AS1","false","CRADD-AS1"
"12","RAD51","false","RAD51"
"35","MAD2L1","false","MAD2L1"
"12","ESPL1","false","ESPL1"
"12","CDC25C","false","CDC25C"
"12","MND1","false","MND1"
"4","STC2","false","STC2"
"4","INS-IGF2","false","INS-IGF2"
"9","WSCD2","false","WSCD2"
"4","CXCR4","false","CXCR4"
"4","SALL4","false","SALL4"
"4","IRS4","false","IRS4"
"4","FOXD1","false","FOXD1"
"4","LOC107984886","false","LOC107984886"
"4","MIR210HG","false","MIR210HG"
"22","PEG3","false","PEG3"
"9","FOXL1","false","FOXL1"
"4","IGF2","false","IGF2"
"4","TFR2","false","TFR2"
"9","ULBP2","false","ULBP2"
"4","HRC","false","HRC"
"4","JAKMIP3","false","JAKMIP3"
"9","ADORA2B","false","ADORA2B"
"4","IGF2BP3","false","IGF2BP3"
"9","ATP6V0D2","false","ATP6V0D2"
"7","SRL","false","SRL"
"4","PHF24","false","PHF24"
"4","FLRT2-AS1","false","FLRT2-AS1"
"12","LOC100506253","false","LOC100506253"
"46","LOC102723714","false","LOC102723714"
"12","GRM4","false","GRM4"
"45","GATA5","false","GATA5"
"22","PGR","false","PGR"
"12","PKMYT1","false","PKMYT1"
"37","LOC105378523","false","LOC105378523"
"22","ADGRL2","false","ADGRL2"
"12","TBX18","false","TBX18"
"12","LINC01238","false","LINC01238"
"12","LOC105372115","false","LOC105372115"
"12","LOC102723305","false","LOC102723305"
