Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
60,NBPF6;ICOS;TRAT1;FGF5;TMEM244;ADAMDEC1;MIR147B;LINC02195,Tumor1;Tumor2;Tumor5;Tumor8;Tumor9;Tumor10;Tumor11;Tumor12;Tumor13;Tumor14;Tumor18,8,11
61,LINC01943;SOCAR;SLC6A7;LINC02541;LINC01583;LOC105370924;CLDN14,Tumor2;Tumor4;Tumor5;Tumor6;Tumor7;Tumor8;Tumor11;Tumor12;Tumor14;Tumor15;Tumor16;Tumor18,7,12
62,CDC20;LOC102723834;IL36G;LOC105377123;LOC151760;ASIC5;CDC25C;LUARIS;MCM10;107987172;PLK1;SHCBP1,Tumor1;Tumor4;Tumor7;Tumor12;Tumor13;Tumor15;Tumor18,12,7
63,RFX8;SOCAR;SLC6A7;ST14;EXOC3L4;KCNN4;CLDN14,Tumor2;Tumor4;Tumor5;Tumor6;Tumor7;Tumor8;Tumor10;Tumor11;Tumor12;Tumor13;Tumor15;Tumor16,7,12
64,AK5;ATP6V1B1-AS1;RFX8;LINC03016;SIGLEC15;CLDN14;PRAME,Tumor1;Tumor2;Tumor3;Tumor4;Tumor5;Tumor7;Tumor8;Tumor10;Tumor12;Tumor13;Tumor14;Tumor16,7,12
65,HOOK1;TFAP2A-AS1;LUARIS;DLX6-AS1;DLX6;LOC107986990;KRT71;LOC107985513;RIPK4,Tumor2;Tumor3;Tumor7;Tumor8;Tumor10;Tumor12;Tumor13;Tumor14;Tumor18,9,9
66,SCN7A;CRISP2;SFRP1;GPR12;CMTM5;ASIC2;KLK5;KLK6;KLK7,Tumor2;Tumor3;Tumor4;Tumor6;Tumor7;Tumor9;Tumor13;Tumor14;Tumor18,9,9
67,NBPF6;LINC01943;FGF5;IGF2BP3;C15orf48;MIR147B;APOC4-APOC2;APOC2,Tumor1;Tumor4;Tumor7;Tumor8;Tumor9;Tumor10;Tumor11;Tumor13;Tumor16;Tumor18,8,10
68,IQGAP3;IL36G;KIF4B;KIFC1;TTK;CDCA2;ESCO2;ERCC6L,Tumor1;Tumor2;Tumor4;Tumor5;Tumor7;Tumor10;Tumor12;Tumor13;Tumor14;Tumor18,8,10
69,GMNC;TMED11P;CRISP2;DACT2;GPR22;GPR12,Tumor1;Tumor2;Tumor3;Tumor4;Tumor5;Tumor7;Tumor8;Tumor9;Tumor11;Tumor12;Tumor13;Tumor14;Tumor15,6,13
70,PLA2G2D;MIR4260;TRAT1;ZBED2;UBD;MIR9898;SIRPG;TMPRSS3;OSM;CSAG2;CSAG3,Tumor2;Tumor5;Tumor6;Tumor11;Tumor12;Tumor13;Tumor18,11,7
71,RUNX3;RUNX3-AS1;LOC102723834;DLX1;LOC105377123;LRRC15;SLC6A7,Tumor1;Tumor2;Tumor4;Tumor7;Tumor9;Tumor10;Tumor11;Tumor12;Tumor13;Tumor14;Tumor15,7,11
72,LOC101928202;MINDY4B;LOC105375027;DENND2B-AS1;MUC15;LOC105372863;GAGE12H,Tumor2;Tumor3;Tumor4;Tumor5;Tumor6;Tumor7;Tumor9;Tumor12;Tumor13;Tumor15;Tumor16,7,11
73,SPC25;TMED11P;CRISP2;GPR22;GS1-24F4.2;GPR12;FOXG1;LINC01551,Tumor2;Tumor4;Tumor8;Tumor9;Tumor11;Tumor12;Tumor13;Tumor14;Tumor15,8,9
74,TNFRSF9;AIM2;BFSP2;LINC02541;GATA3;SERPINA1;SLC27A2;CLDN14,Tumor2;Tumor5;Tumor7;Tumor9;Tumor10;Tumor11;Tumor12;Tumor14;Tumor18,8,9
75,TUBA3E;SLC22A11;RXFP2;CMTM5;CPLX3;KLK3,Tumor1;Tumor4;Tumor5;Tumor6;Tumor7;Tumor8;Tumor10;Tumor11;Tumor13;Tumor14;Tumor15;Tumor18,6,12
