attr_name	Tumor_25	NormalMyometrium_1	NormalMyometrium_2	NormalMyometrium_3	NormalMyometrium_4	NormalMyometrium_5	NormalMyometrium_6	NormalMyometrium_7	NormalMyometrium_8	NormalMyometrium_9	NormalMyometrium_10	NormalMyometrium_11	NormalMyometrium_12	NormalMyometrium_13	NormalMyometrium_14	NormalMyometrium_15	NormalMyometrium_16	NormalMyometrium_17	NormalMyometrium_18	NormalMyometrium_19	NormalMyometrium_20	NormalMyometrium_21	NormalMyometrium_22	NormalMyometrium_23	NormalMyometrium_24	NormalMyometrium_25	NormalMyometrium_26	NormalMyometrium_27	NormalMyometrium_28	NormalMyometrium_29
203213_at	8.59331817606492	7.42452552102363	6.54761976618788	6.23857154370881	6.98762466516486	7.12763646377942	7.18378715369056	6.43667532516692	6.43616329404322	6.98065230474707	7.32823394082959	6.09400427983573	6.2219963403766	6.15429458001353	9.64796726889436	7.19296675753058	6.47996912844439	7.12815248220574	6.95671174585837	6.60838907435269	6.66082421907885	6.42005760423553	8.12952106532631	6.67460513502396	6.67870016126491	7.2849481256462	6.93431006788051	7.16653714020946	7.65028741390235	6.72445655581581
203362_s_at	9.93479566559972	6.44006799770429	5.58885494969308	5.37253462467097	5.65320337276472	5.97589789606482	6.16421993088191	6.11985515147905	5.60776436941988	6.08755198156339	5.9582838552436	5.57412324704842	6.42051357530073	5.57117056877967	8.55323264396622	6.26926491700142	6.60047206864195	6.2332040639342	5.79851517613292	5.64543395863059	6.35662865221672	5.54965012316883	6.53474854674677	6.08091894192366	6.61025240626654	6.28450842165611	6.58227111394949	6.21328720648557	6.79420976927858	6.41237300162664
203554_x_at	10.1777495690225	7.49288817309588	7.23458572198998	7.06843043059671	6.85307951484075	7.03269882927883	6.9432138244131	6.9104338366629	6.91984465456881	7.05248635636895	7.27674657948421	7.08359475461096	6.77700201465565	6.95349161285284	9.76254876959376	7.03759088585812	7.2233402262555	7.19369490237126	7.26258886713756	6.8726284350518	7.01488753458978	7.24015704988098	7.96458190789395	7.06799899618097	7.82924341662357	7.70906749809894	7.44939048783562	7.41120530176517	7.52535526168156	7.1040125052314
203571_s_at	7.5446794056025	10.4387950414454	11.8215114064665	11.5800009143514	11.8631775673852	11.4328093311026	11.9221558470119	12.0405215333794	11.5693905526558	11.5924979148577	11.3503672532792	11.8352290524224	11.5158468457248	11.8486859595307	9.9462958895369	12.0491589517487	10.8778773700698	11.347070496158	11.9565874416073	12.0024512954252	11.4761553089535	11.5770592999969	10.6535359243829	12.0367806483513	11.540998708096	11.1838602027262	11.1015604328409	11.2557025462045	10.7318434778329	11.0747089683722
203755_at	9.42026486247365	6.95663113731977	6.11964033252091	6.13249862741547	6.2987466722422	6.26652392396831	6.20115875519739	6.22389155761915	6.38585397856859	6.41226431346263	6.3126604739719	6.12794258098149	6.25311593872027	5.97896901786547	9.68844933860973	6.34796726150308	6.22544251099631	6.81532473375252	6.30708532124217	6.14577478542626	6.2029383820436	6.03312282490323	7.26700029163901	5.88454332459958	6.15867774337448	6.16137764501313	6.09990147620192	6.17978142434807	6.26541850133598	6.25390138907643
203764_at	7.77976128806697	4.86025851032246	4.08908506353484	4.45490035397774	4.15626644834926	4.03241862723917	4.23189451089616	4.33870697431877	4.32642241122483	4.38148590752327	4.24473535409263	4.43848758072057	4.18068482309396	4.22510582631481	7.93895836325957	4.27467971786909	4.44257193856479	4.58383671737358	4.31965083796835	4.2614927536433	4.18722509351851	4.28641465670843	5.40915034433306	4.33172506552197	4.45659556324535	4.3088529785467	4.36569552704236	4.27330588305178	4.40212524034876	4.38636393680159
203998_s_at	5.78608525475127	9.14641335042799	7.82799202980728	6.47601075336464	9.67806032524589	9.72957852803631	9.41044946824004	8.84013442755492	9.56737985938777	5.87508261283408	8.60466441395738	8.30020311987222	9.6609382824229	6.61689180662523	5.43000375132778	9.76194142180298	8.86164231571042	10.0955891502856	8.5722132085996	9.74105857899129	9.36600203609929	7.95796730686587	7.36619588524337	8.19022663023667	8.16414895539223	9.78145301992118	9.46295746464078	8.06779736796609	6.89074941430279	8.25282123345603
204026_s_at	9.37807338547917	7.48269298310198	6.76652772285364	5.90924770643229	6.4297032018361	6.53790973141417	6.33059103152529	6.44256531634799	6.42314387141648	7.14401236591893	6.28760524433724	6.32526899851589	6.95296157630919	5.89607579109376	9.77520090792422	6.48708203789803	6.59025406089147	7.55799263286844	6.83545917420673	6.49114067763458	6.69292947551309	6.77729623372677	8.00700293920958	6.36767143460083	6.70574101691692	6.8392634156728	6.96852855569417	6.96818631192826	6.65442982303795	6.53258168708035
204170_s_at	9.76791057509877	8.72044496050831	7.24071169882921	6.18663606137649	7.46797168081494	7.26124750431882	7.22818528695918	6.82579333640899	6.70029200891791	8.07655753874602	7.48815216490684	6.53562575346745	7.90545641423955	6.99943999574455	9.99600089778435	7.21915255249781	7.82567805668893	7.54698688052144	7.45854685149234	7.44516370580027	6.87072849213941	6.16754113369407	8.13080164539156	7.66242045686185	6.87787613686652	7.6872225687782	7.46134584662414	7.47663567605747	7.65448579608092	7.09797797187699
204444_at	7.306815102677	5.25376288032664	4.37668148863607	4.24307049798307	4.2240330511676	4.46783436117352	4.45759627714787	4.41396117790684	4.40195845025638	4.67055100080772	4.27346517835979	4.33227510845525	4.46827047098893	4.46488823780782	7.95881775034632	4.50309069594667	4.68617458223317	4.85760659258944	4.60861040157759	4.45710586378669	4.54068963248209	4.35951010145982	6.15647666013418	4.37735552888215	4.55474349128518	4.39948349727582	4.54514034221706	4.42143970477393	4.56864003161782	4.51934183507591
