attr_name	NormalMyometrium_1	NormalMyometrium_2	NormalMyometrium_3	NormalMyometrium_4	NormalMyometrium_5	NormalMyometrium_6	NormalMyometrium_7	NormalMyometrium_8	NormalMyometrium_9	NormalMyometrium_10	NormalMyometrium_11	NormalMyometrium_12	NormalMyometrium_13	NormalMyometrium_14	NormalMyometrium_15	NormalMyometrium_16	NormalMyometrium_17	NormalMyometrium_18	NormalMyometrium_19	NormalMyometrium_20	NormalMyometrium_21	NormalMyometrium_22	NormalMyometrium_23	NormalMyometrium_24	NormalMyometrium_25	NormalMyometrium_26	NormalMyometrium_27	NormalMyometrium_28	NormalMyometrium_29
CCL21	10.9086729124622	9.9955422987903	9.10521183062981	7.48298797700325	12.1988341364445	9.72917967699542	10.9059856049813	8.24523985559703	10.3416865331573	11.2105314185468	10.7070245515768	9.90696283297808	10.2486600457202	9.68763989452482	9.03284335383873	9.87899870077696	8.39668226095154	7.57201162746726	9.78838815917364	9.21039074296021	8.19974072920918	11.0294860607675	8.72020568505384	10.2330030533277	9.02525977859142	9.39072590018238	9.5847939720205	9.56081962933349	9.94026377040029
CCNA2	5.19246903316166	4.96998582747097	5.20763746648426	5.25593512568368	4.96056797628892	5.11134736257009	4.85710091287886	4.82709021969247	5.37658603654562	5.25234675084542	5.19637882720698	4.91229577888528	5.22657263496497	7.54604218062173	5.56082664757857	5.16535268936091	5.54911603540377	5.41228071356646	5.27736632459695	5.03732655146179	5.0598414157384	6.09168119787678	5.49340372030576	5.7592025637306	5.55169859445575	5.72349107325699	6.07774471513412	6.51300719944132	5.96884370477766
CCNB1	6.48296513439472	5.73027813248138	5.4199625208727	5.84960189190052	5.83929512359856	5.80380150108843	5.23938435739259	5.37036066595551	5.89054568985828	5.87187742487271	5.48981440963778	5.69987921118563	5.72463526298993	8.75267129693352	5.60559012287712	5.6118007098666	6.06784197233686	5.81973725438957	5.44836953402348	5.7683850901743	5.15980767657134	6.567296006976	5.85109522950988	5.86928481088068	5.71176728571999	5.6729383970912	5.55363084902663	5.9503663059199	5.74892803597308
CCNB2	6.40076656219698	5.84486489958757	5.80016236738243	5.43095776495004	5.62200315800286	5.37552617915321	5.61887474541834	5.54066018159375	5.90482949993284	5.74522208549733	5.6000495723497	5.42176240731342	5.47445690819777	8.39137894579262	5.56546010083391	5.89224276534537	6.05548140865996	5.63927585539937	5.60520535978992	5.64855176598486	5.92102400317894	6.66119049220281	5.67355931013052	5.90439524953776	6.00652580159439	5.72622716183247	5.87498745172831	5.74889940925371	5.69205738859519
CCND2	11.1109648739099	11.6188609843106	11.6818292365144	11.637942420727	11.3646375949711	11.5404996410111	11.5012698090852	11.7464262497826	11.8027780289042	11.4408708500883	11.7320734476262	11.9797364038328	11.5501672799577	11.6084877997751	11.2165956865858	11.47893232876	11.6716957773932	11.7259639220655	12.0005319358686	11.6751219976361	11.5443888966437	11.4864250397265	11.1188814223528	11.5255076611805	11.8135234940213	11.6890835319564	11.4874776608049	11.4652484409368	11.738686026422
CCNE2	4.6102564904858	4.47461839149386	4.83153734477901	4.51306402985614	4.48549139592726	4.72644519274316	4.36121363903679	4.29004437971712	4.65258165990068	4.39582744603811	4.37386963629459	4.7189158447594	4.2879663883142	5.99633579518972	4.72668276182001	4.53132180655264	4.60406873197174	4.45857888003171	4.22591004522706	4.41837153102156	4.57943349938995	5.19085962199813	4.53283949523582	4.65165047075125	4.83991550258226	4.83029959907114	4.75640418669655	5.10889219488113	4.93375681234825
CDC20	6.43174457703151	5.88690722594255	5.7388706570525	5.81853639618854	5.63597623521358	5.74167971241334	5.73177164751692	5.56207221621813	5.83192905734057	5.80217656316598	5.97401050848341	5.74515994006045	5.77705851986505	8.84159531447178	5.60037397468966	5.70686854074189	5.98546708482119	5.65909368324232	5.89675526815654	5.76304926262403	5.59751186264004	6.49760535467317	5.92535539698333	5.84439286638626	5.74282124354337	5.7800552329579	5.61581150591499	5.72466149975847	5.50801681524505
CDC6	4.7165927396314	4.65928976648099	4.56200587730391	4.57230175185427	4.43657009972049	4.27608382916263	4.57006849687998	4.53782451381748	4.70559920381818	4.40726809907416	4.68474903640279	4.53025414130935	4.54610930407541	6.13035340472752	4.19941268900437	4.44257193856479	4.61508082500017	4.59281574180347	4.61567921304835	4.50291873337443	4.46920538740164	4.93559811861903	4.65801382840537	4.59355969122851	4.59906578723593	4.48668348919531	4.73400101252026	4.60422829514446	4.56105337847862
CDC7	5.53747246943547	5.77435837998691	6.13764713545361	5.68723289214742	5.53769595786724	5.63547521495188	5.61540300292372	6.41200020244042	6.35121730755317	5.59977993578022	5.301658623245	5.54694091416504	5.98174412403245	6.94505795084428	5.45480076300554	5.4165419780987	6.03058869524498	6.62012469475399	5.69233976035057	5.68437080296631	6.07491554545919	5.97668852248761	6.5962738470924	5.86838997305676	6.59667554199896	6.09451477146474	7.03765151399681	6.35482580609378	7.09989754661627
CDK1	7.42452552102363	6.54761976618788	6.23857154370881	6.98762466516486	7.12763646377942	7.18378715369056	6.43667532516692	6.43616329404322	6.98065230474707	7.32823394082959	6.09400427983573	6.2219963403766	6.15429458001353	9.64796726889436	7.19296675753058	6.47996912844439	7.12815248220574	6.95671174585837	6.60838907435269	6.66082421907885	6.42005760423553	8.12952106532631	6.67460513502396	6.67870016126491	7.2849481256462	6.93431006788051	7.16653714020946	7.65028741390235	6.72445655581581
