GEN1,GEN2
KIF4A,BUB1
SLAMF7,CGN
SLAMF7,UBASH3A
SLAMF7,BCL11B
SLAMF7,TNIP3
SLAMF7,IL7R
SLAMF7,IL21R-AS1
SLAMF7,ANKRD22
SLAMF7,CXCR2P1
SLAMF7,TNFSF13B
SLAMF7,CXCR6
SLAMF7,LINC01857
SLAMF7,PDCD1
SLAMF7,CXCL10
SLAMF7,IL2RB
SLAMF7,LINC02316
SLAMF7,CD80
SLAMF7,GBP5
SLAMF7,CD300LF
SLAMF7,CD52
SLAMF7,OSCAR
SLAMF7,LOC107984551
SLAMF7,DNAJC5B
SLAMF7,SLC1A3
SLAMF7,OASL
SLAMF7,KLHDC7B
SLAMF7,UBD
SLAMF7,BIRC3
SLAMF7,APOBR
SLAMF7,ICOS
SLAMF7,CTSW
SLAMF7,LINC02084
SLAMF7,PKD2L1
SLAMF7,CXCL9
SLAMF7,SH2D1A
SLAMF7,CCL18
SLAMF7,TNFRSF9
SLAMF7,EOMES
SLAMF7,ITK
SLAMF7,BATF
SLAMF7,LINC01871
SLAMF7,CCL5
SLAMF7,CD3E
SLAMF7,ARL4C
SLAMF7,TRAT1
SLAMF7,SP140
SLAMF7,LAIR2
SLAMF7,PYHIN1
SLAMF7,PTPN22
SLAMF7,KLHDC7B-DT
SLAMF7,LILRB4
SLAMF7,CD8A
SLAMF7,CD8B
SLAMF7,SIGLEC10
SLAMF7,GPR171
SLAMF7,ACY3
SLAMF7,SIGLEC8
SLAMF7,LINC02195
SLAMF7,USP30-AS1
SLAMF7,CYTIP
SLAMF7,CCR7
SLAMF7,ZBED2
SLAMF7,GZMA
SLAMF7,CALHM6
SLAMF7,APOC2
SLAMF7,LINC01943
SLAMF7,IL21R
SLAMF7,ETV7
SLAMF7,ADAMDEC1
SLAMF7,HECW2-AS1
SLAMF7,IGKJ5
SLAMF7,IL2RG
SLAMF7,IFI30
SLAMF7,BCL2A1
SLAMF7,GPR174
SLAMF7,IL18
SLAMF7,APOC4-APOC2
SLAMF7,IL12RB1
SLAMF7,LOC102724765
SLAMF7,SDS
SLAMF7,SLAMF8
SLAMF7,ZBP1
SLAMF7,PCOLCE-AS1
SLAMF7,IL1R2
SLAMF7,TFEC
SLAMF7,SERPINA1
SLAMF7,LIPM
SLAMF7,CRTAM
SLAMF7,APOC1
SLAMF7,SIRPG
SLAMF7,TYMP
SLAMF7,CD96
SLAMF7,ICAM1
SLAMF7,AIM2
SLAMF7,CD2
SLAMF7,CD5
SLAMF7,CD70
SLAMF7,SIT1
SLAMF7,CXCR3
SLAMF7,CD3D
SLAMF7,LINC01615
UBASH3A,PCOLCE-AS1
UBASH3A,TRAT1
UBASH3A,LINC02195
PTPN22,PKD2L1
PTPN22,TRAT1
PTPN22,LINC02195
PTPN22,LINC01943
PTPN22,PCOLCE-AS1
PTPN22,BIRC3
PKD2L1,MARCO
PKD2L1,MIR147B
PKD2L1,PELATON
PKD2L1,RGS1
PKD2L1,CD300LF
PKD2L1,OSCAR
PKD2L1,ZNF683
PKD2L1,ITGAX
PKD2L1,OTOAP1
PKD2L1,KCNN4
PKD2L1,TMEM156
PKD2L1,CCL18
PKD2L1,PTPRN
PKD2L1,TFAP2A
PKD2L1,PLEKHN1
PKD2L1,LINC01857
PKD2L1,CLEC5A
PKD2L1,C15orf48
PKD2L1,LAIR2
PKD2L1,FGF5
PKD2L1,LILRB4
PKD2L1,SIGLEC10
PKD2L1,COL8A1
PKD2L1,GPR171
PKD2L1,ACY3
PKD2L1,CYTIP
PKD2L1,APOC2
PKD2L1,APOBR
PKD2L1,LINC01943
PKD2L1,IL21R
PKD2L1,IL2RG
PKD2L1,APOC4-APOC2
PKD2L1,STEAP3
PKD2L1,OSM
PKD2L1,SDS
PKD2L1,CCDC171
PKD2L1,ST14
PKD2L1,LOC101927344
PKD2L1,ARL4C
PKD2L1,TREM2
PKD2L1,SLAMF8
PKD2L1,FBP1
PKD2L1,SERPINA1
PKD2L1,LOC105373581
PKD2L1,APOC1
PKD2L1,NLRP2
PKD2L1,ANPEP
PKD2L1,IFI30
PKD2L1,BCL2A1
PKD2L1,RGS16
PKD2L1,IL21R-AS1
PKD2L1,IL18
PKD2L1,SOCAR
BCL11B,LINC02195
BCL11B,TRAT1
LRRC37A8P,FAM95C
LRRC37A8P,ENHO
LRRC37A8P,MAST1
LRRC37A8P,GS1-24F4.2
