"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050954","sensory perception of mechanical stimulus","3/28","181/18870",0.00238347766027202,0.0331948185733919,0.0218177178550025,"7852/23349/40",3
"BP","GO:0048546","digestive tract morphogenesis","2/28","49/18870",0.00239155753410605,0.0331948185733919,0.0218177178550025,"3239/6422",2
"BP","GO:0030850","prostate gland development","2/28","50/18870",0.00248892537365958,0.0340917278155213,0.0224072228930571,"3239/6422",2
"BP","GO:0006941","striated muscle contraction","3/28","186/18870",0.00257490126404646,0.0348113274788618,0.0228801889491483,"7852/3270/477",3
"BP","GO:0010959","regulation of metal ion transport","4/28","398/18870",0.00267313607139305,0.0354362364723195,0.0232909183548285,"8614/7852/3270/477",4
"BP","GO:0060688","regulation of morphogenesis of a branching structure","2/28","52/18870",0.00268920526543058,0.0354362364723195,0.0232909183548285,"3239/6422",2
"BP","GO:0030900","forebrain development","4/28","407/18870",0.00289757314031591,0.0372391807292452,0.0244759264614079,"7852/477/6299/1749",4
"BP","GO:0050678","regulation of epithelial cell proliferation","4/28","407/18870",0.00289757314031591,0.0372391807292452,0.0244759264614079,"3481/1750/1749/6422",4
"BP","GO:0042733","embryonic digit morphogenesis","2/28","57/18870",0.00322199944456773,0.0409036758755489,0.0268844626311813,"3239/6299",2
"BP","GO:0086065","cell communication involved in cardiac conduction","2/28","58/18870",0.00333401807091249,0.0418158170098783,0.0274839790246432,"3270/477",2
"BP","GO:0009314","response to radiation","4/28","428/18870",0.00347110133879736,0.042644140702291,0.0280284053354458,"993/477/40/6422",4
"BP","GO:2000241","regulation of reproductive process","3/28","207/18870",0.00348199035513423,0.042644140702291,0.0280284053354458,"3239/993/6422",3
"BP","GO:0019722","calcium-mediated signaling","3/28","210/18870",0.00362557300085024,0.0438862964405244,0.0288448280361402,"7852/3270/477",3
"BP","GO:0040014","regulation of multicellular organism growth","2/28","63/18870",0.00392112250967161,0.0469182589950362,0.0308376240930012,"8614/3481",2
"BP","GO:0006816","calcium ion transport","4/28","445/18870",0.00398890858302504,0.0471869753969212,0.0310142413751947,"8614/7852/3270/477",4
"BP","GO:0019229","regulation of vasoconstriction","2/28","64/18870",0.00404390927108698,0.0473001073168713,0.0310885987724014,"477/40",2
"BP","GO:1905330","regulation of morphogenesis of an epithelium","2/28","65/18870",0.00416847257685426,0.0482153328056142,0.0316901423971376,"3239/6422",2
"BP","GO:0048568","embryonic organ development","4/28","453/18870",0.00424987321775248,0.0486166815349487,0.0319539339680638,"3481/1750/6299/1749",4
"BP","GO:0001655","urogenital system development","2/28","67/18870",0.00442290820678912,0.0498455342133888,0.0327616130630494,"3239/6422",2
"BP","GO:0016055","Wnt signaling pathway","4/28","459/18870",0.00445305925249295,0.0498455342133888,0.0327616130630494,"2297/6299/1749/6422",4
