"interaction","name","selected","shared interaction","shared name"
"interacts with","TNFRSF9 (interacts with) CD86","false","interacts with","TNFRSF9 (interacts with) CD86"
"interacts with","TNFRSF9 (interacts with) CALHM6","false","interacts with","TNFRSF9 (interacts with) CALHM6"
"interacts with","TNFRSF9 (interacts with) SP140","false","interacts with","TNFRSF9 (interacts with) SP140"
"interacts with","TNFRSF9 (interacts with) FPR3","false","interacts with","TNFRSF9 (interacts with) FPR3"
"interacts with","TNFRSF9 (interacts with) GFI1","false","interacts with","TNFRSF9 (interacts with) GFI1"
"interacts with","TNFRSF9 (interacts with) CD4","false","interacts with","TNFRSF9 (interacts with) CD4"
"interacts with","TNFRSF9 (interacts with) IRF1","false","interacts with","TNFRSF9 (interacts with) IRF1"
"interacts with","TNFRSF9 (interacts with) EVI2A","false","interacts with","TNFRSF9 (interacts with) EVI2A"
"interacts with","TNFRSF9 (interacts with) SIRPG","false","interacts with","TNFRSF9 (interacts with) SIRPG"
"interacts with","TNFRSF9 (interacts with) SLC37A2","false","interacts with","TNFRSF9 (interacts with) SLC37A2"
"interacts with","TNFRSF9 (interacts with) CASP1","false","interacts with","TNFRSF9 (interacts with) CASP1"
"interacts with","TNFRSF9 (interacts with) SAMSN1","false","interacts with","TNFRSF9 (interacts with) SAMSN1"
"interacts with","TNFRSF9 (interacts with) CD68","false","interacts with","TNFRSF9 (interacts with) CD68"
"interacts with","TNFRSF9 (interacts with) LIPM","false","interacts with","TNFRSF9 (interacts with) LIPM"
"interacts with","TNFRSF9 (interacts with) STAT1","false","interacts with","TNFRSF9 (interacts with) STAT1"
"interacts with","TNFRSF9 (interacts with) CXCL9","false","interacts with","TNFRSF9 (interacts with) CXCL9"
"interacts with","TNFRSF9 (interacts with) SLC1A3","false","interacts with","TNFRSF9 (interacts with) SLC1A3"
"interacts with","TNFRSF9 (interacts with) SLAMF8","false","interacts with","TNFRSF9 (interacts with) SLAMF8"
"interacts with","TNFRSF9 (interacts with) LILRB4","false","interacts with","TNFRSF9 (interacts with) LILRB4"
"interacts with","TNFRSF9 (interacts with) APBB1IP","false","interacts with","TNFRSF9 (interacts with) APBB1IP"
"interacts with","TNFRSF9 (interacts with) MSR1","false","interacts with","TNFRSF9 (interacts with) MSR1"
"interacts with","TNFRSF9 (interacts with) KCNAB2","false","interacts with","TNFRSF9 (interacts with) KCNAB2"
"interacts with","TNFRSF9 (interacts with) LINC02195","false","interacts with","TNFRSF9 (interacts with) LINC02195"
"interacts with","TNFRSF9 (interacts with) TNFAIP6","false","interacts with","TNFRSF9 (interacts with) TNFAIP6"
"interacts with","TNFRSF9 (interacts with) GPR171","false","interacts with","TNFRSF9 (interacts with) GPR171"
"interacts with","TNFRSF9 (interacts with) IL2RG","false","interacts with","TNFRSF9 (interacts with) IL2RG"
"interacts with","TNFRSF9 (interacts with) PSMB9","false","interacts with","TNFRSF9 (interacts with) PSMB9"
"interacts with","TNFRSF9 (interacts with) CRYBG1","false","interacts with","TNFRSF9 (interacts with) CRYBG1"
"interacts with","TNFRSF9 (interacts with) CRTAM","false","interacts with","TNFRSF9 (interacts with) CRTAM"
"interacts with","TNFRSF9 (interacts with) SH2D1A","false","interacts with","TNFRSF9 (interacts with) SH2D1A"
"interacts with","TNFRSF9 (interacts with) SAMD9","false","interacts with","TNFRSF9 (interacts with) SAMD9"
"interacts with","TNFRSF9 (interacts with) CXCR6","false","interacts with","TNFRSF9 (interacts with) CXCR6"
"interacts with","TNFRSF9 (interacts with) HAVCR2","false","interacts with","TNFRSF9 (interacts with) HAVCR2"
"interacts with","TNFRSF9 (interacts with) LAIR2","false","interacts with","TNFRSF9 (interacts with) LAIR2"
"interacts with","TNFRSF9 (interacts with) SLA","false","interacts with","TNFRSF9 (interacts with) SLA"
"interacts with","TNFRSF9 (interacts with) ARHGAP30","false","interacts with","TNFRSF9 (interacts with) ARHGAP30"
"interacts with","TNFRSF9 (interacts with) LINC01050","false","interacts with","TNFRSF9 (interacts with) LINC01050"
"interacts with","TNFRSF9 (interacts with) CXCL10","false","interacts with","TNFRSF9 (interacts with) CXCL10"
"interacts with","TNFRSF9 (interacts with) CYTIP","false","interacts with","TNFRSF9 (interacts with) CYTIP"
"interacts with","TNFRSF9 (interacts with) IL12RB1","false","interacts with","TNFRSF9 (interacts with) IL12RB1"
